Kaugummi|Mund-Z#ae#hne-Essen-Blase-Pfefferminz
Luftschiff|fliegen-Fahrzeug-Ballon-Werbung-Zeppelin
Explosion|sprengen-Dynamit-fliegen-Luft-Feuer
U-Bahn|Tunnel-Zug-fahren-Verkehr-#oe#ffentlich
Schaltjahr|366-4-29-Februar-Tag
Kreuzfahrt|Urlaub-Schiff-Luxus-Ziel-Karibik
Kater|Katze-Tier-m#ae#nnlich-Kopfweh-Morgen
Hubschrauber|fliegen-Rotor-Motor-drehen-senkrecht
Dicksch#ae#del|stur-Eigensinn-Kopf-d#ue#nn-nachgeben
K#oe#nig|Monarch-Herrscher-Land-Krone-Kaiser
Steinzeit|Geschichte-Epoche-Jahr-H#oe#hle-Mensch
Scharchen|schlafen-Nase-schnaufen-Ger#ae#usch
Patient|Arzt-Doktor-krank-behandeln-pflegen
Mumie|Leiche-K#oe#rper-tot-einbalsamieren-Grab-#ae#gypten
Neugier|Interesse-erfahren-fliegen-fragen-herausfinden-spannend
Festhalten|Hand-Griff-verlieren-fallen-umarmen
K#ae#mmen|Haare-B#ue#rste-ordnen-Finger-Kopf
Kuss|Mund-Lippen-Wange-Liebe-knutschen-Paar
Stress|#ae#rger-Arbeiten-viel-anstrengend-Nerven
Windpocken|krank-Kind-anstecken-Pusteln-Virus
Nadel|n#ae#hen-Faden-stecken-spitzen-Heuhaufen
Rest|#ue#brig-wenig-Ende-Essen-M#ue#ll
Wanderpokal|Troph#ae#e-Preis-gewinnen-laufen-gehen
Ehrlichkeit|Warheit-l#ue#gen-sagen-Vertrauen-aufrichtig
Nagel|Hammer-Wand-schlagen-Finger-Zeh
H#ae#ngematte|Netz-Bett-schlafen-anbinden-Baum
Weinregal|Flasche-Holz-Lager-liegen-sammeln
Cookie|Internet-Website-Daten-speichern-Keks
Pantoffelheld|Mann-Ehe-Frau-Schuh-darunter
Spinne|Netz-acht-Beine-Insekt-krabbeln
Lasso|Seil-Cowboy-werfen-Schlinge-Kuh
Fr#ue#hbucher|Urlaub-Ferien-Hotel-Prozente-Rabatt
S#ae#ule|Geb#ae#ude-St#ue#tze-halten-Decke-Boden
Taucherbrille|Wasser-schwimmen-unten-Schutz-Auge
Extremsport|Freizeit-besonders-Kick-aufregend-ungew#oe#hnlich
Eidechse|Reptil-Tier-klein-hei#ss#-Schwanz
Kugelfisch|Wasser-Tier-Japan-rund-giftig
Paparazzi|Fotograf-Journalist-Presse-heimlich-jagen
Lachen|kichern-Hahaha-Witz-lustig-Spa#ss#
Job|Beruf-Stelle-Geld-arbeiten-Gehalt-Steuern
Neon|Licht-grell-R#oe#hre-Farbe-Element
Note|Musik-spielen-Sch#ue#ssel-Duft-Schule
Birne|Obst-Baum-essen-gl#ue#hen-Kopf
Loch|bohren-L#ue#cke-Nase-Ohr-Ness
Ohrring|Schmuck-Kopf-zwei-Loch-Piercing
Lebkuchen|Geb#ae#ck-essen-Weihnachten-Mann-Haus
Sattel|Pferd-reiten-Fahrrad-sitzen-Leder
Fallschirm|fliegen-springen-Flugzeug-Rei#ss#leine-#oe#ffnen
Slum|Stadt-Viertel-arm-leben-Elend
Gitarre|Musik-Instrument-spielen-Saiten-Bass-stimmen
Schneebesen|Winter-Eis-K#ue#che-r#ue#hren-kehren-backen
Dudelsack|Musik-Instrument-Pfeifen-blasen-Schottland
Boxer|Sport-Kampf-Ring-Handschuhe-Hund
Mais|Feld-Korn-gelb-essen-Kolben
Brillenschlange|Auge-sehen-Glas-Reptil-lang
Inlineskates|Rollschuh-laufen-fahren-Reihe-Blades
Restauranttester|Fernsehen-Reality-Gastst#ae#tte-pr#ue#fen-Michelin
** LOL **|eMail-SMS-Zeichen-lachen-Smiley
