Surround-Sound|Ton-Kino-Fernsehr-herum-5.1
Socken|Fu#ss#-Strumpf-Schuh-warm-laufen
Krautsalat|essen-Kohl-wei#ss#-Essig-#oe#l-Vorspeise
Backpfeife|Ohr-Wange-schlagen-hauen-trillern
Umarmung|halten-Arme-dr#ue#cken-K#oe#rper
Lasagne|essen-Pasta-Nudeln-Schicht-Italien
Sodbrennen|Magen-S#ae#ure-Bauch-essen-hoch
Hangover|Kino-Film-Bradley Cooper-besoffen-vergessen
Briegmarke|Karte-Paket-Umschlag-Wert-Porto
Doppelkinn|Kopf-Mund-Hals-zwei-dick
Wlan|Netz-Verbindung-Computer-Internet-schnurlos
Gipfeltreffen|Berg-oben-Politik-wichtig-zusammen
Niesen|Nase-Schnupfen-Gesundheit-Hatschi|-jucken
Kopfschmerzen|wehtut-H#ae#mmern-Schl#ae#fen-Migr#ae#ne-Apsirin
Teilzeit|Job-Arbeit-Woche-Stunde-voll
Akupunktur|Medizin-Nadeln-China-stechen-Schmerz
Pink|Farbe-rosa-rot-M#ae#dchen-S#ae#ngerin
Flatrate|Vertrag-pauschal-Tarif-Internet-Telefon
Floss|Wasser-Fluss-Holz-Boot-schwimmen
Schneemann|Winter-Eis-bauen-Kugel-Mohrr#ue#be
Stinktier|Geruch-Streifen-schwarz-wei#ss#-Pelz
Langeweile|Zeit-machen-g#ae#hnen-egal-nichts
Axt|hacken-schlagen-Holz-scharf-schwingen
Hitzefrei|Sommer-Schule-hei#ss#-aus-Haus
Tapete|Wand-Farbe-kleben-Rausfaser-Bild
Kopfgeldj#ae#ger|Person-Mensch-Ziel-suchen-Belohnung
Wecker|Uhr-Alarm-Morgen-Zeit-stellen
Mondfinsternis|Nacht-Erde-Schatten-Sonne-sehen
Seife|waschen-Bad-Schaum-sauber-riechen
Adler|Vogel-gro#ss#-rauben-Schnabel-Fl#ue#gel
Husky|Hund-Schlitten-Fell-Schnell-kalt
Haare|Kopf-Frisur-Farbe-K#oe#rper-schneiden
#ue#bergewicht|viel-schwer-Waage-Kilo-essen
Kaktus|Pflanze-Wasser-Stacheln-W#ue#ste-spitz
B#ae#uerchen|aufsto#ss#en-r#ue#lpsen-Luft-raus-Baby
Marmelade|s#ue##ss#-Gelee-Obst-Glas-Fr#ue#hst#ue#ck
Vinyl|Scheibe-Musik-Platte-CD-fr#ue#her
Pumpe|Luft-Reifen-Ballon-blasen-treten
Panda|Tier-schwarz-wei#ss#-Zoo-China
Fernsteuerung|Ger#ae#t-Auto-Schalter-fahren-Richtung
R#ae#uberleiter|Dieb-stehlen-Hand-helfen-steigen
Halloween|Oktober-Nacht-Geister-spucken-K#ue#rbis
Souvenier|Erinnerung-Gegenstand-Geschenk-Tourist-mitbringen
Muskelkater|Sport-anstrengend-danach-wehtun-Katze
Auster|Muschel-Schale-Perle-Meer-essen
Kita|Kind-Betreuung-Aufsicht-Job-Garten
Teenager|jung-zehn-Kind-Pubert#ae#t-Hormone
Horrorfilm|Kino-Fernsehr-gruseln-Angst-Nacht
Waxing|Haare-rei#ss#en-Beine-Streifen-glatt
Minijob|Arbeit-gering-Lohn-wenig-Euro
Geruch|Duft-Parf#ue#m-Aroma-Nase-schn#ue#ffeln
X-Factor|Fernsehen-Serie-Mystery-unfassbar-Castingshow
Wellness|Freizeit-entspannen-verw#oe#hnen-Center-Hotel
Pechvogel|Schwierigkeiten-falsch-Gl#ue#ck-#ae#rger-fliegen
Biber|Tier-Pelz-nagen-Damm-Z#ae#hne
Dampfnudel|essen-Klo#ss#-s#ue##ss#-So#ss#e-Rauch-
Metalldetektor|suchen-erkennen-abtasten-Flughafen-Kontrolle
Krawatte|Schlips-Kragen-Hemd-Hals-Mann
Harry Potter|Buch-Film-Rowling-zaubern-Hogwarts
Hypnose|Trance-schlafen-Pendel-unbewusst-sprechen
Heizung|warm-Wohnung-K#oe#rper-Winter-Ofen
Geschichte|erz#ae#hlen-M#ae#rchen-Story-Vergangenheit-fr#ue#her
Bank|sitzen-Stuhl-Park-Konto-Geld
Reisepass|Ausweis-Foto-Urlaub-Stempel-Name
Taggen|spr#ue#hen-Dose-Farbe-Graffiti-Zeichen
Trendsetter|neu-modern-aktuell-zuerst-anders
Sabbern|Speichel-Spucke-Mund-laufen-Baby
Korsett|Kleid-Taille-schn#ue#ren-Frau-eng
EC-Karte|Geld-Bank-Plastik-bezahlen-Kredit
Polizist|Beamter-Staat-Sicherheit-Gesetz-Uniform
#ue#berraschung|pl#oe#tzlich-unerwartet-Geburtstag-Party-Ei
Pudelm#ue#tze|Winter-Kopf-kalt-warm-Hund
Baumwolle|Stoff-Kleidung-wei#ss#-Flocken-Busch
Professor|Universit#ae#t-Lehrer-Wissenschaft-Unterricht-verr#ue#ckt
Fahrrad|Reifen-Lenker-Pedal-Kette-Auto
Techno|Musik-Stil-House-Club-tanzen
Kandierter Apfel|rot-s#ue##ss#-Obst-Jahrmarkt-Kinder
Schnurlos|Kabel-Ger#ae#t-Telefon-Strom-Stecker
Fahrschule|Auto-Schein-Stunde-Verkehr-Pr#ue#fung
Reifenpanne|Auto-Rad-Schlauch-wechseln-platt
Kolhdampf|Hunger-essen-gro#ss#-Magen-knurren
Roter Teppich|Boden-Farben-Premiere-Promis-Stars
Spargel|Gem#ue#se-essen-Stange-Butter-So#ss#e
Kurve|Ecke-rund-Stra#ss#e-Bogen-kriegen
Sandalen|Schuh-Fu#ss#-Sommer-warm-Strumpf
Brot|essen-B#ae#cker-Korn-wei#ss#
Thermalbad|entspannen-schwimmen-Wasser-hei#ss#-Sauna
Affenzahn|Tier-Schimpanse-Mund-bei#ss#en-schnell
Gl#ue#ckskeks|China-essen-danach-aufbrechen-Zettel
Eis|Wasser-frieren-W#ue#rfel-Speise-Sommer
Eselsohr|Buch-Seite-Knick-merken-I ah
Brasilien|Land-Amerika-S#ue#den-Amazonas-Rio
Einfach|Aufgabe-Frage-leicht-schwer-schlicht
Kristallkugel|Zukunft-Vorhersage-sehen-lesen-Nebel
Pilz|Champignon-Pfifferling-sammeln-essen-krank
Ketchup|Tomate-rot-So#ss#e-Pommes-Majo
Hattrick|Sport-Tor-drei-Fu#ss#ball-Eishockey
Riese|gro#ss#-gewaltig-Mensch-M#ae#rchen-Zwerg
B#ue#cherwurm|lesen-Papier-klug-viel-Regen
Rum|Alkohol-Melasse-trinken-Pirat-Buddel
Eintopf|Suppe-essen-kochen-Gem#ue#se-Fleisch
Korb|Tasche-Weide-flechten-tragen-kriegen
Rosine|Weintraube-getrocknet-s#ue##ss#-Sultanine-Korinth
Maskottchen|Gl#ue#ck-Symbol-Figur-Mannschaft-Sport
Galileo|Fernsehen-Doku-Reporter-Aiman Abdallah-Galilei
Zuckerspiegel|Blut-Diabetes-s#ue##ss#-sehen-Salz
Rauch|Feuer-Brand-Qualm-Kamin-Zigarette
Griff|halten-Hand-T#ue#r-Tasche-Koffer
Schach|Spiel-Brett-matt-Bauer-K#oe#nig
Playlist|Musik-Folge-aussuchen-Titel-Lieder
Batterie|Strom-Zelle-Energie-aufladen-Akku
Insel|Land-Meer-umgeben-Wasser-einsam
Pirat|Seer#ae#uber-Beute-Schiff-Karibik-Johnny Depp
Beton|Zement-Wasser-mischen-hart-Haus
Nordic Walking|laufen-gehen-Sport-Stock-Ausdauer
Pool|schwimmen-Wasser-Garten-Sommer-Billard
Fliehen|entkommen-weglaufen-eingesperrt-Gef#ae#ngnis-frei
Wikipedia|Internet-online-Enzyklop#ae#doe-Lexikon-frei
Hip-Hop|Musik-Stil-tanzen-Rap-Breakdance
Pasta|Nudeln-Teig-Spaghetti-essen-kochen
Drehwurm|schwindelig-kreiseln-rotieren-Kopf-Regen
Kartenhaus|spielen-Skat-bauen-vorsichtig-einst#ue#rzen
Handschuhe|Finger-Winter-kalt-warm-Wolle
Blechschaden|Auto-Unfall-klein-Beule-verletzt
Surfen|Meer-Brett-Wellen-Segel-Internet
Farbe|Rot-Blau-Gelb-Gr#ue#n-Orange
Webcam|Kamera-beobacten-like-Internet-sehen
Nudelholz|K#ue#che-backen-Teig-rollen-flach
Bushaltestelle|fahren-Verkehr-warten-stehen-Bank
Wespe|Insekt-Stachel-Biene-Streifen-Taille
Nest|Vogel-Eier-br#ue#ten-Baum-bauen
Schuhl#oe#ffel|Fu#ss#-Stiefel-anziehen-Suppe-Gabel
Manik#ue#re|Hand-Finger-Nagel-Feile-Lack
Schmuck|Ring-Kette-tragen-Diamanten-Gold
Nachtclub|Bar-Disco-tanzen-Musik-ausgehen
Deckel|Verschluss-Dose-Topf-oben-passen
Knoten|binden-Schnur-Schleife-ausmachen-ziehen
Krake|Tier-Meer-Arme-Tintenfisch-Oktopus
Schlafm#ue#tze|m#ue#de-Nacht-Bett-Kopf-Haube
Strafzettel|Kn#oe#llchen-parken-fahren-Ordnungsamt-aufschreiben
X-Men|Film-Kino-Comic-Mutant-Wolverine
Matratze|Bett-liegen-schlafen-Kissen-Laken
Trainingsanzug|Sport-Fittness-bequem-Hose-Streifen
Sparschwein|Geld-M#ue#nze-Dose-Buch-Kind
Handschellen|felleln-Schl#ue#ssel-Kette-Polizei-festnehmen
Erde|Welt-Globus-Planet-Boden-Mutter
Klon|DNA-Gene-Aussehen-gleich-Doppelg#ae#nger
Fadenkreuz|Strich-sehen-Ziel-Visier-Fernrohr
Leopard|Katze-gro#ss#-rauben-schnell-Flecken
Cocktail|trinken-Alkohol-mischen-Bar-Schirmchen
Paradies|Eden-Himmel-Urlaub-gl#ue#cklich-Vogel
Smartphone|Handy-Internet-eMail-Touchscreen-Kontakt
Bodygoard|Meer-Wasser-Welle-flach-surfen
Sieb|Netz-Loch-schwenken-gie#ss#en-Ged#ae#chtnis
Pfote|Tier-Fu#ss#-Kralle-Hund-Katze
Nussknacker|Weihnachten-Schale-brechen-Zange-Ballett
Singleb#oe#rse|Partner-suchen-online-Internet-Kontakt
Hallo|Haus-Raum-gro#ss#-Sport-Konzert
Lunge|Brust-Luft-atem-Fl#ue#gel-zwei
Gangsta|Rap-HipHop-Ice T- Amerika
Schmetterling|Insekt-Motte-Fl#ue#gel-Raupe-Kokon
