Katze|Tier-Haustier-Miauen-Fell-Krallen
Auto|Fahrzeug-fahren-Stra#ss#e-Motor-R#ae#der
Pizza|E#ss#en-Teig-K#ae#se-Belag-Lieferung
Sonne|Himmel-Tag-hei#ss#-leuchten-Sonnenbrille
Fu#ss#ball|Sport-Ball-Mannschaft-Tor-Schiedsrichter
Flugzeug|Transport-Pilot-Flughafen-Himmel-Fl#ue#gel
Buch|Lesen-Seiten-Geschichte-Autor-Kapitel
Kaffee|Getr#ae#nk-Ta#ss#e-hei#ss#-Bohnen-Koffein
Strand|Meer-Sand-Sonnenbaden-Wellen-Muscheln
Geburtstag|Feier-Geschenke-Kuchen-Kerzen-Alter
Computer|Technologie-Bildschirm-Tastatur-Maus-Internet
Regenbogen|Farben-Himmel-Nach dem Regen-Bogen-Sonnenlicht
Schule|Lernen-Lehrer-Sch#ue#ler-Unterricht-Schulranzen
Garten|Pflanzen-Blumen-Rasen-Schaufel-Gie#ss#en
Film|Kino-Schauspieler-Drehbuch-Regi#ss#eur-Popcorn
Musik|Lied-Instrument-Melodie-T#oe#ne-Konzert
Hunde|Tiere-Haustiere-Bellen-Pfoten-Ra#ss#e
Schokolade|S#ue##ss#igkeit-Naschen-Kakao-Tafel-Pralinen
Telefon|Kommunikation-Anrufen-Nummer-Handy-Gespr#ae#ch
Sommer|Jahreszeit-Sonne-Hitze-Urlaub-Eiscreme
Uhr|Zeit-Zeiger-Ziffernblatt-Tick-Tack-Wecker
Brille|Sehen-Augen-Gestell-Linsen-Optiker
Bank|Geld-Finanzen-Sitz-Konto-#UE#berweisung
Zahnarzt|Z#ae#hne-Bohrer-Stuhl-Zahnreinigung-Termin
Ferien|Pause-Reise-Erholung-Freizeit-Auszeit
Baum|Pflanze-Bl#a#tter-Holz-Wurzeln-Schatten
Treppe|Stufen-Aufstieg-Gel#ae#nder-Abstieg-Treppenhaus
Lampe|Beleuchtung-Licht-Schalter-Gl#ue#hbirne-Strom
Meer|Ozean-Wellen-Strand-Fische-Salzwa#ss#er
Sch#ue##ss#el|Kochen-E#ss#en-Inhalt-Rund-K#ue#che
Kino|Filme-Leinwand-Popcorn-Pl#ae#tze-Filmstart
Fahrrad|Radfahren-Drau#ss#en-Fahrzeug-Pedale-Helm
Feuer|Brennen-Flammen-W#ae#rme-Brand-Rauch
Kleidung|Anziehen-Mode-Stil-Kleiderschrank-Modenschau
Uhrzeit|Zeiger-Minuten-Stunden-Zeitplan-Wecker
Himmel|Wolken-Sonne-Sterne-Blau-Flugzeug
Banane|Obst-Gelb-Sch#a#len-#ae#pfel-Schale
Zirkus|Artist-Tiere-Clown-Vorstellung-Akrobatik
Farbe|Malen-Bunt-Pinsel-Leinwand-Farbt#oe#pfe
Reise|Urlaub-Entdecken-Flugzeug-Abenteuer-Koffer
Augen|Sehen-Blicken-Blinzeln-Iris-Brille
Spielzeug|Kind-Spielen-Pl#ae#tzchen-Unterhaltung-Puppe
Apfel|Obst-E#ss#en-Saftig-Birne-Kerngeh#a#use
Tisch|M#oe#bel-E#ss#en-Platz-Beine-Stuhl
Foto|Bild-Erinnerung-Kamera-Aufnahme-Album
Regen|Na#ss#-Wolken-Schirm-Pfuetze-Tropfen
Winter|Kalt-Schnee-Eis-Schnee#ss#el-Schlitten
Himmelbett|Schlafen-Bett-Vorh#a#nge-Romantisch-Nachtruhe
Zebra|Tier-Streifen-Savanne-Afrika-Pferd
Flasche|Trinken-Glas-#UE#berschwappen-Inhalt-Dursten
Badezimmer|Duschen-Toilette-Spiegel-Seife-Handtuch
B#ae#ckerei|Brot-Br#oe#tchen-Verkauf-S#ue##ss#igkeiten-Kuchen
#AE#gypten|Pyramide-Sphinx-W#ue#ste-Pharao-Nil
Teddyb#ae#r|Kuscheln-Stofftier-Kinder-#ae#rmel-Nachtruhe
Ozean|Wa#ss#er-Wellen-Tiefe-Meeresbewohner-K#ue#ste
Kamera|Fotografieren-Bilder-Film-Objektiv-Ausl#oe#ser
Kugelschreiber|Schreiben-Stift-Tinte-Schreibger#ae#t-Kappe
Apotheke|Medikamente-Gesundheit-Tabletten-Rezept-Arzneimittel
Gebirge|Berge-Wandern-Gipfel-Natur-Au#ss#icht
Fernseher|Unterhaltung-Bildschirm-Programm-Fernbedienung-Kabel
Schmetterling|Insekt-Fl#ue#gel-Farben-Fliegen-Nektar
E-Mail|Nachricht-Postfach-Internet-Elektronisch-Versenden
Schere|Schneiden-Papier-Schnitt-Klingen-Handwerk
Schwimmbad|Wa#ss#er-Schwimmen-Becken-Baden-Rutschen
Kuchen|Backen-S#ue##ss#igkeit-Teig-Sahne-Naschen
Arzt|Medizin-Gesundheit-Krankheit-Patient-Untersuchung
Sport|Aktivit#ae#t-Bewegung-Wettbewerb-Team-Sportler
Zoo|Tiere-Au#ss#tellung-Gehege-F#ue#ttern-Tierpfleger
Tasche|Tragen-Handtasche-Gep#ae#ck-Schulterriemen-Rei#ss#verschlu#ss#
Schnee|Winter-Kalt-Eis-Rutschen-Schneemann
Bahn|Transport-Zug-Schienen-Fahrplan-Reisen
Theater|Auff#ue#hrung-B#ue#hne-Schauspiel-Darsteller-Vorhang
Schuh|Fu#ss#-Bekleidung-Schn#ue#rsenkel-Sohle-Gr#oe##ss#e
Keks|Backen-S#ue##ss#igkeiten-Knuspern-Knabberei-Keksdose
Handy|Telefonieren-Kommunikation-Mobilger#ae#t-Nachrichten-Apps
Malen|Farben-Kunst-Kreativit#ae#t-Leinwand-Pinsel
Fr#ue#hling|Jahreszeit-Blumen-Gr#ue#n-Erwachen-Vogelgezwitscher
Hund|Haustier-Bellen-Wedeln-Fell-Pfote
Zeitung|Nachrichten-Pre#ss#e-Artikel-Lesen-Drucken
Ta#ss#e|Trinken-Becher-Hei#ss#-Kaffee-Tee
Zahn|Gebi#ss#-Mundarzt-Bei#ss#er-Karies-Pflege
Fahne|Symbol-Nation-Flagge-Stoff-Stange
Geb#ae#ude|Bauwerk-Architektur-Steine-Fa#ss#ade-Dach
Bahnsteig|Zug-Bahn-Reisende-Gleis-Ankunft
Gitarre|Musik-Instrument-Saiten-Spiel-Melodie
Freunde|Gesellschaft-Gemeinsamkeit-Beziehung-Vertrauen
Blume|Pflanze-Duft-Garten-Sch#ue#nheit-Bl#ue#te
Schl#ue#ssel|Schloss-T#ue#r-#OE#ffnen-Sicherheit-Bund
Korb|Beh#ae#lter-Tragen-Einkaufen-Flechten-Picknick
Kopfh#oe#rer|Musik-H#oe#ren-Klang-Ohren-Stecker
K#ue#hlschrank|K#ue#hlen-Lebensmittel-Ger#ae#usch-Eisfach-T#ue#r
Hase|Tier-Kaninchen-Ohren-Hoppeln-M#oe#hre
Kugel|Rund-Ball-Spiel-Schwer-Kreis
Schl#ue##ss#elbund|Schl#ue##ss#el-Anh#ae#nger-T#ue#r-Bund-Metall
Fotoalbum|Erinnerung-Bilder-Familie-Freunde-Einstecken
Schublade|Aufbewahrung-M#oe#bel-Griff-Herausziehen-Ordnung
Rucksack|Tragen-Wandern-Tasche-Reisen-Gurt
Regenschirm|Regen-Trocken-Himmel-N#ae##ss#en-Sturm
Wiese|Gras-Natur-Blumen-Sonnenstrahlen-Picknick
Fernglas|Beobachten-Vergr#oe##ss#erung-Glas-Sicht-Fokus
Schl#ue##ss#elbrett|Aufh#ae#ngen-Organisieren-Schl#ue##ss#elhaken-Flur-Wand
Sonnenbrille|Schutz-Augen-T#oe#nung-UV-Strahlen
Bleistift|Schreiben-Zeichnen-Grafit-Spitzen-Radieren
Magnet|Anziehung-Metall-Magnetfeld-Magnetschwebebahnen
Zitrone|Frucht-Sauer-Saftig-Gelb-Erfrischend
Fernbedienung|Steuerung-Fernseher-Kan#ae#le-Lautst#ae#rke-Programme
Blatt|Baum-Gr#ue#n-Herbst-Bl#ae#tterrascheln
Aquarium|Fische-Wa#ss#er-Gl#a#ser-Dekoration-Unterwa#ss#erwelt
Puzzle|Legespiel-Teile-Bild-Geduld-Knobeln
Schrank|Aufbewahrung-Kleidung-Schubladen-Kleiderb#ue#gel-Regal
Kekse|Backen-S#ue##ss#igkeit-Knuspern-Teig-Naschen
Park|Natur-Spazieren-Gr#ue#n-Picknick-B#ae#ume
Badeanzug|Schwimmen-Strand-Pool-Sommer-Baden
Kuscheltier|Stofftier-Knuddeln-Kinder-Nachtruhe-Tr#oe#sten
Telefonbuch|Nummern-Adre#ss#en-Kontakte-Telefonnummern-Auswahl
Regenmantel|Wetterschutz-Regen-Jacke-Regenschirm-Trocken
Schuhe|Fu#ss#-Bekleidung-Sohle-Schn#ue#rsenkel-Gr#oe##ss#e
Kinderzimmer|Spielen-Schlafen-Spielzeug-Bett-Kinder
Buchstaben|Worte-Schrift-Sprache-Alphabet-Lesen
Handschuhe|H#ae#nde-W#ae#rme-Finger-K#ae#lte-Schutz
Torte|Backen-S#ue##ss#igkeit-Sahne-Geburtstag-St#ue#ck
Kompa#ss#|Navigation-Richtung-Nadel-Nord-S#ue#d
Hafen|Schiffe-Boote-Anker-Meer-Kr#ae#ne
Teekanne|Tee-Hei#ss#-Ausgie#ss#en-Griff-Porzellan
Fahrradhelm|Sicherheit-Radfahren-Kopfschutz-Sturz-Verkehr
Hausaufgaben|Schule-Lernen-Aufgaben-Hausarbeit-Schreiben
Instrument|Musik-Klavier-Gitarre-Trommel-Noten
Feuerwehr|L#oe#schen-Brand-Alarm-Feuerwehrauto-Feuer
Topf|Kochen-E#ss#en-K#ue#che-Herd-Deckel
Stift|Schreiben-Zeichnen-Schule-Farbe-Kugelschreiber
Camping|Zelt-Natur-Feuer-Rucksack-Abenteuer
Geldb#oe#rse|Geld-Karten-Bargeld-Brieftasche-Geldbeutel
Handschellen|Polizei-Fe#ss#eln-Festhalten-Schl#ue##ss#el-Gefangener
Wolken|Himmel-Regen-Sonne-Grau-Formen
Skateboard|Rollen-Sport-Balance-Board-Tricks
Schulbus|Schule-Fahrzeug-Kinder-Fahrt-Busfahrer
H#ue#hnerei|Ei-Omelett-Kochen-Sch#a#len-Eigelb
Dusche|Wa#ss#er-Erfrischung-Bad-Shampoo-Abbrausen
Sonnenaufgang|Morgen-Horizont-Himmel-Rot-Neuer Tag
Schl#ue##ss#elanh#ae#nger|Schl#ue##ss#el-Ring-Anh#ae#nger-Tasche-Anh#ae#ngsel
Kreide|Schreiben-Tafel-Farbig-Kritzeln-Staub
Sonnenuntergang|Abend-Horizont-Himmel-Rot-D#ae#mmerung
Schal|Hals-W#ae#rme-Strick-Acce#ss#oire-Muster
Hubschrauber|Fliegen-Luft-Rotor-Rettung-Pilot
Rezept|Kochen-K#ue#che-Zutaten-Anleitung-Kochbuch
Laterne|Licht-Dunkelheit-Stra#ss#e-Lampe-Batterie
Br#ue#cke|#UE#berqueren-Flu#ss#-Konstruktion-Verbindung-Architektur
Ohrringe|Schmuck-Ohren-Stecker-Perlen-Gold
Einkaufswagen|Einkaufen-Supermarkt-Rollen-Lebensmittel-Ka#ss#e
Picknick|E#ss#en-Natur-Decke-Korb-Park
Ball|Spiel-Sport-Rund-Kicken-Werfen
Sandburg|Strand-Sand-Wa#ss#er-Bauen-K#ue#ste
Schneemann|Winter-Schnee-Karotte-M#ue#tze-Schneeball
Teller|E#ss#en-Servieren-Porzellan-Abwasch-Speisen
Rennauto|Geschwindigkeit-Rennen-Strecke-Motorsport-Fahrer
Taschenlampe|Licht-Dunkelheit-Batterie-Tasche-Beleuchtung
Hosen|Kleidung-Beine-Stoff-H#ue#fte-Knopf
Fisch|Wa#ss#er-Schwimmen-Flo#ss#en-Aquarium-Salzwa#ss#er
Kaffeeta#ss#e|Trinken-Kaffee-Hei#ss#-Morgen-Genie#ss#en
Mikrofon|Sprechen-Stimme-Gesang-Aufnahme-B#ue#hne
Portemonnaie|Geldb#oe#rse-Geld-Karten-Bargeld-Brieftasche
Trampolin|Springen-Sport-Federung-H#ue#pfen-#UE#bung
Rennrad|Radfahren-Stra#ss#e-Sport-Geschwindigkeit-Tour
Schaukel|Spielplatz-Hoch-Spa#ss#-Kind-Schwingen
Planet|Weltall-Sonne-Sterne-Erde-Galaxie
Tischtennis|Schl#ae#ger-Ball-Netz-Spiel-Aufschlag
Wolkenkratzer|Hochhaus-Geb#ae#ude-Wolken-H#oe#he-Architektur
Kerze|Feuer-Docht-Duft-Wachs-Leuchten
Segelboot|Segeln-Wa#ss#er-See-Wind-Segel
Dinosaurier|Urzeit-Ausgestorben-Fo#ss#ilien-Echse-Pr#ae#historisch
H#ae#ngematte|Entspannen-Schaukeln-Garten-Sommer-Urlaub
Tafel|Schreiben-Kreide-Schule-Unterricht-L#oe#schen
Boot|Wa#ss#er-See-Flu#ss#-Rudern-Kapit#ae#n
Brief|Schreiben-Nachricht-Post-Zustellung-Umschlag
Radio|Musik-Nachrichten-Sender-Tuner-Lautsprecher
Schlo#ss#|T#ue#r-Schl#ue##ss#el-Burg-Mittelalter-Geheimnis
Volleyball|Sport-Netz-Ball-Aufschlag-Beachvolleyball
Eiscreme|Lecker-Schmelzen-Sommer-Genu#ss#-Eiswaffel
Kamm|Haare-Frisur-B#ue#rsten-Z#ae#hne-Haarpflege
Seil|Knoten-Ziehen-Sicherheit-Kletterei-Schaukel
Kaktus|Pflanze-Stachel-W#ue#ste-Sukkulente-Topf
Frosch|Tier-Quaken-Teich-Lurch-H#ue#pfen
Zelt|Camping-Schlafen-Natur-Abenteuer-Outdoor
Basketball|Sport-Korb-Ball-Wurf-Team
Luftballon|Luft-Feiern-Bunt-Helium-Geburtstag
Eule|Vogel-Nacht-Weisheit-Federn-Augen
Rakete|Weltraum-Start-Feuerwerk-Wi#ss#enschaft-Raumfahrt
Teppich|Boden-Weich-Textur-Wohnzimmer-Muster
Spinne|Insekt-Netz-Acht-Beine-Krabbeln
Hammer|Werkzeug-Nagel-Schlagen-Holz-Handgriff
Armbanduhr|Zeit-Handgelenk-Uhrzeit-Zifferblatt-Armband
Seepferdchen|Meer-Tier-Unterwa#ss#er-Schwimmen-Fisch
Laptop|Computer-Technologie-Internet-Bildschirm-Tastatur
H#ue#tte|Holz-Blockhaus-Gem#ue#tlich-Berg-Holzh#ue#tte
Feder|Vogel-Fliegen-Weich-Schreiben-Luftig
Kirsche|Obst-Rot-Saftig-Kern-Fr#ue#hling
Segelschiff|Segeln-Wa#ss#er-See-Wind-Segel
Schaukelpferd|Spielzeug-Kinder-Reiten-Schaukeln-Holz
Pinguin|Tier-Eis-K#ae#lte-Schwarz-Wei#ss#-Tierpark
Melone|Frucht-Sommer-Saftig-Kerne-Schale
Gl#ue#hbirne|Licht-Strom-Energie-Leuchten-Birne
Tischdecke|Tisch-E#ss#en-Abdeckung-Tuch-Geschirr
Kuh|Tier-Milch-Bauer-Weide-Muh
Zahnspange|Z#ae#hne-Kiefer-Klammer-Korrigieren-Ortodontie
Eis|Kalt-Lecker-Schmelzen-Sommer-Erfrischung
Baseball|Sport-Schl#ae#ger-Ball-Team-Spiel
Lippenstift|Schminke-Farbe-Lippen-Make-up-Auftragen
Schildkr#oe#te|Tier-Panzer-Langsam-Gr#ue#n-Reptil
Wa#ss#erfall|Wa#ss#er-Natur-Strom-Sturz-Bach
Flip-Flops|Schuhe-Sommer-Sandalen-Strand-F#ue##ss#e
Maus|Computer-Klicken-Scrollen-Kabellos-Nager
Zaun|Garten-Trennung-Holz-Grenze-Weidezaun
